Frequency (eV),Frequency (meV),vDOS Total,Frequency (eV),Frequency (meV),vDOS Crystalline,Frequency (eV),Frequency (meV),vDOS Amorphous
0.039942,39.942,7.8049,0.039942,39.942,4.8666,0.039942,39.942,9.8752
0.040178,40.178,8.2951,0.040178,40.178,5.2685,0.040178,40.178,10.428
0.040415,40.415,6.8557,0.040415,40.415,4.7141,0.040415,40.415,8.3646
0.040651,40.651,5.7347,0.040651,40.651,3.1103,0.040651,40.651,7.5838
0.040888,40.888,7.0279,0.040888,40.888,2.761,0.040888,40.888,10.034
0.041124,41.124,6.5989,0.041124,41.124,2.7528,0.041124,41.124,9.3086
0.04136,41.36,7.6488,0.04136,41.36,4.4692,0.04136,41.36,9.889
0.041597,41.597,7.8308,0.041597,41.597,4.8157,0.041597,41.597,9.9552
0.041833,41.833,6.7079,0.041833,41.833,4.2465,0.041833,41.833,8.4421
0.042069,42.069,7.9033,0.042069,42.069,5.2628,0.042069,42.069,9.7638
0.042306,42.306,10.117,0.042306,42.306,6.2983,0.042306,42.306,12.807
0.042542,42.542,8.343,0.042542,42.542,6.3144,0.042542,42.542,9.7723
0.042778,42.778,5.1193,0.042778,42.778,4.7468,0.042778,42.778,5.3818
0.043015,43.015,5.4687,0.043015,43.015,4.588,0.043015,43.015,6.0892
0.043251,43.251,5.2144,0.043251,43.251,4.3093,0.043251,43.251,5.8521
0.043487,43.487,7.1636,0.043487,43.487,5.341,0.043487,43.487,8.4477
0.043724,43.724,6.7706,0.043724,43.724,5.5251,0.043724,43.724,7.6482
0.04396,43.96,5.8857,0.04396,43.96,5.9203,0.04396,43.96,5.8614
0.044196,44.196,9.3457,0.044196,44.196,11.972,0.044196,44.196,7.4955
0.044433,44.433,12.391,0.044433,44.433,17.373,0.044433,44.433,8.8805
0.044669,44.669,13.541,0.044669,44.669,17.081,0.044669,44.669,11.047
0.044905,44.905,9.1096,0.044905,44.905,10.392,0.044905,44.905,8.2057
0.045142,45.142,9.4022,0.045142,45.142,11.768,0.045142,45.142,7.7355
0.045378,45.378,8.3836,0.045378,45.378,11.282,0.045378,45.378,6.3412
0.045614,45.614,6.1769,0.045614,45.614,6.6751,0.045614,45.614,5.8259
0.045851,45.851,8.8287,0.045851,45.851,12.139,0.045851,45.851,6.4967
0.046087,46.087,8.9551,0.046087,46.087,12.798,0.046087,46.087,6.2478
0.046323,46.323,8.129,0.046323,46.323,9.5991,0.046323,46.323,7.0933
0.04656,46.56,11.561,0.04656,46.56,15.644,0.04656,46.56,8.6845
0.046796,46.796,10.495,0.046796,46.796,16.045,0.046796,46.796,6.5853
0.047032,47.032,8.4527,0.047032,47.032,11.541,0.047032,47.032,6.2767
0.047269,47.269,10.59,0.047269,47.269,12.765,0.047269,47.269,9.0584
0.047505,47.505,9.018,0.047505,47.505,11.74,0.047505,47.505,7.1004
0.047741,47.741,7.4155,0.047741,47.741,9.8815,0.047741,47.741,5.678
0.047978,47.978,7.0171,0.047978,47.978,10.545,0.047978,47.978,4.5316
0.048214,48.214,10.253,0.048214,48.214,15.487,0.048214,48.214,6.5656
0.048451,48.451,12.012,0.048451,48.451,16.773,0.048451,48.451,8.6587
0.048687,48.687,9.0577,0.048687,48.687,12.91,0.048687,48.687,6.3432
0.048923,48.923,9.693,0.048923,48.923,13.878,0.048923,48.923,6.7443
0.04916,49.16,10.226,0.04916,49.16,14.622,0.04916,49.16,7.1289
0.049396,49.396,7.4944,0.049396,49.396,9.768,0.049396,49.396,5.8924
0.049632,49.632,5.3558,0.049632,49.632,7.5468,0.049632,49.632,3.8121
0.049869,49.869,5.4088,0.049869,49.869,6.2744,0.049869,49.869,4.799
0.050105,50.105,6.5123,0.050105,50.105,7.255,0.050105,50.105,5.9891
0.050341,50.341,5.6361,0.050341,50.341,7.8015,0.050341,50.341,4.1104
0.050578,50.578,3.6532,0.050578,50.578,4.3389,0.050578,50.578,3.1702
0.050814,50.814,3.6275,0.050814,50.814,3.1407,0.050814,50.814,3.9705
0.05105,51.05,3.6934,0.05105,51.05,2.9739,0.05105,51.05,4.2004
0.051287,51.287,3.2177,0.051287,51.287,2.3218,0.051287,51.287,3.8488
0.051523,51.523,2.736,0.051523,51.523,2.3722,0.051523,51.523,2.9924
0.051759,51.759,2.3896,0.051759,51.759,1.8324,0.051759,51.759,2.7822
0.051996,51.996,2.4092,0.051996,51.996,1.8266,0.051996,51.996,2.8197
0.052232,52.232,2.9033,0.052232,52.232,1.3368,0.052232,52.232,4.0069
0.052468,52.468,3.7549,0.052468,52.468,0.68717,0.052468,52.468,5.9164
0.052705,52.705,3.35,0.052705,52.705,0.86582,0.052705,52.705,5.1003
0.052941,52.941,2.3978,0.052941,52.941,0.84661,0.052941,52.941,3.4907
0.053177,53.177,1.2943,0.053177,53.177,0.74131,0.053177,53.177,1.684
0.053414,53.414,2.1914,0.053414,53.414,0.87832,0.053414,53.414,3.1166
0.05365,53.65,2.7849,0.05365,53.65,0.81834,0.05365,53.65,4.1704
0.053886,53.886,2.5093,0.053886,53.886,0.82744,0.053886,53.886,3.6944
0.054123,54.123,2.7291,0.054123,54.123,0.96245,0.054123,54.123,3.9739
0.054359,54.359,3.15,0.054359,54.359,0.76127,0.054359,54.359,4.833
0.054595,54.595,3.3166,0.054595,54.595,0.66906,0.054595,54.595,5.182
0.054832,54.832,4.2942,0.054832,54.832,0.66925,0.054832,54.832,6.8482
0.055068,55.068,4.7597,0.055068,55.068,0.77181,0.055068,55.068,7.5694
0.055304,55.304,3.4123,0.055304,55.304,0.71903,0.055304,55.304,5.3099
0.055541,55.541,2.49,0.055541,55.541,0.63293,0.055541,55.541,3.7985
0.055777,55.777,2.3609,0.055777,55.777,0.62376,0.055777,55.777,3.5849
0.056014,56.014,3.2709,0.056014,56.014,0.60693,0.056014,56.014,5.1478
0.05625,56.25,4.5691,0.05625,56.25,0.63288,0.05625,56.25,7.3425
0.056486,56.486,4.3526,0.056486,56.486,0.70306,0.056486,56.486,6.9239
0.056723,56.723,3.6273,0.056723,56.723,0.7561,0.056723,56.723,5.6502
